Capture-Date,Name,Record,Height,Weight(lbs),Reach,Stance,DOB,Sig. Strikes Landed,Sig. Strikes Accuracy,Sig. Strikes Absorbed,Sig. Strike Defence,Take Down Averge,Take Down Accuracy,Take Down Defense,Submission Averge,
2020-06-25 23:29:50.986108,Tom Aaron,5-3-0,,155,,,Jul 13 1978,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:29:51.306924,Danny Abbadi,4-6-0,5-11,155,,Orthodox,Jul 03 1983,3.29,38%,4.41,57%,0.00,0%,77%,0.0,
2020-06-25 23:29:51.571772,David Abbott,10-15-0,6-0,265,,Switch,,1.35,30%,3.55,38%,1.07,33%,66%,0.0,
2020-06-25 23:29:51.977028,Shamil Abdurakhimov,20-5-0,6-3,235,76,Orthodox,Sep 02 1981,2.45,44%,2.45,58%,1.23,24%,47%,0.2,
2020-06-25 23:29:52.293960,Hiroyuki Abe,8-15-3 (1 NC),5-6,145,,Orthodox,,1.71,36%,3.11,63%,0.00,0%,33%,0.0,
2020-06-25 23:29:52.549799,Daichi Abe,6-2-0,5-11,170,71,Orthodox,Nov 27 1991,3.80,33%,4.49,56%,0.33,50%,0%,0.0,
2020-06-25 23:29:52.822643,Papy Abedi,10-4-0,5-11,185,,Southpaw,Jun 30 1978,2.80,55%,3.15,48%,3.47,57%,50%,1.3,
2020-06-25 23:29:53.088505,Ricardo Abreu,5-1-0,5-11,185,,Orthodox,Apr 27 1984,3.79,31%,3.98,68%,2.13,42%,100%,0.7,
2020-06-25 23:29:53.308364,Klidson Abreu,15-5-0,6-0,205,74,Orthodox,Dec 24 1992,2.05,40%,2.90,55%,0.64,20%,80%,0.0,
2020-06-25 23:29:53.580224,Daniel Acacio,30-18-0,5-8,180,,Orthodox,Dec 27 1977,3.52,36%,2.85,62%,0.33,20%,81%,0.0,
2020-06-25 23:29:53.863062,Scott Adams,8-1-0,6-0,225,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:29:54.107920,Juan Adams,5-3-0,6-5,265,80,Orthodox,Jan 16 1992,7.09,55%,4.06,34%,0.91,66%,57%,0.0,
2020-06-25 23:29:54.398756,Anthony Adams,2-1-0,6-0,185,,Orthodox,Jan 13 1988,3.40,47%,5.60,44%,0.00,0%,0%,0.0,
2020-06-25 23:29:54.618615,Zarrukh Adashev,3-2-0,5-5,125,65,Southpaw,Jul 29 1992,3.75,33%,3.75,33%,0.00,0%,0%,0.0,
2020-06-25 23:29:54.861492,Israel Adesanya,19-0-0,6-4,185,80,Switch,Jul 22 1989,3.96,48%,2.40,65%,0.00,0%,86%,0.3,
2020-06-25 23:29:54.999412,Sam Adkins,7-20-2,6-3,225,,Orthodox,Apr 26 1965,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:29:55.363195,Nick Agallar,24-6-0,5-8,155,,Orthodox,Jan 13 1979,0.69,11%,4.56,42%,0.00,0%,0%,0.0,
2020-06-25 23:29:55.629199,Mariya Agapova,9-1-0,5-6,125,68,Southpaw,Apr 07 1997,3.84,51%,4.35,51%,0.00,0%,42%,0.8,
2020-06-25 23:29:55.894565,Marcelo Aguiar,2-3-1,5-10,170,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:29:56.152084,Edwin Aguilar,26-19-0 (1 NC),5-10,185,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:29:56.399424,Jessica Aguilar,20-8-0,5-3,115,63,Orthodox,May 08 1982,4.93,50%,7.19,53%,0.94,25%,50%,0.2,
2020-06-25 23:29:56.646039,Kevin Aguilar,17-4-0,5-7,155,73,Orthodox,Sep 07 1988,3.69,37%,4.47,53%,0.19,25%,87%,0.0,
2020-06-25 23:29:56.916818,Christian Aguilera,14-6-0,5-9,170,72,Switch,Nov 25 1991,10.17,43%,4.07,63%,0.00,0%,0%,0.0,
2020-06-25 23:29:57.156260,Mike Aina,14-6-1 (1 NC),5-9,155,,Orthodox,,2.87,33%,6.33,59%,0.00,0%,71%,0.0,
2020-06-25 23:29:57.424345,Hitomi Akano,18-10-0,5-4,135,,Southpaw,Jul 27 1974,0.59,45%,2.58,55%,0.00,0%,8%,0.5,
2020-06-25 23:29:57.740986,Omari Akhmedov,20-4-1,6-0,185,73,Orthodox,Oct 12 1987,2.99,34%,2.77,58%,2.40,50%,62%,0.2,
2020-06-25 23:29:58.053887,Yoshihiro Akiyama,14-6-0 (2 NC),5-10,170,75,Orthodox,Jul 29 1975,3.10,41%,3.62,57%,2.29,67%,92%,1.0,
2020-06-25 23:29:58.464423,Rostem Akman,6-2-0,5-10,170,72,Switch,Dec 19 1991,1.80,25%,3.97,57%,1.00,40%,87%,0.0,
2020-06-25 23:29:58.734808,Razak Al-Hassan,13-5-0,6-2,205,,Orthodox,May 14 1982,3.27,39%,3.14,60%,0.65,14%,57%,0.0,
2020-06-25 23:29:59.003921,Mostapha Al-Turk,6-6-0,6-2,245,77,Orthodox,Jul 14 1973,1.36,19%,3.61,53%,0.00,0%,0%,0.0,
2020-06-25 23:29:59.261497,Herdem Alacabek,5-1-0,6-2,205,75,Orthodox,Jun 07 1991,3.84,65%,6.66,23%,2.06,50%,42%,0.0,
2020-06-25 23:29:59.534703,Javi Alanis,0-4-0,5-6,135,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:29:59.824518,Heili Alateng,14-7-1,5-5,135,66,Orthodox,Dec 14 1991,2.77,37%,5.10,57%,3.50,35%,100%,0.0,
2020-06-25 23:30:00.082915,Brett Albee,3-2-0,,225,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:00.325613,John Albert,6-5-0,5-8,135,68,Orthodox,Oct 13 1986,3.05,49%,2.82,35%,0.00,0%,50%,6.1,
2020-06-25 23:30:00.594380,Junior Albini,14-6-0,6-3,264,74,Orthodox,Mar 15 1991,3.98,51%,6.08,52%,1.54,37%,100%,0.0,
2020-06-25 23:30:00.845558,Wes Albritton,0-1-0,5-10,188,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:01.092987,Aleksandra Albu,3-2-0,5-2,115,63,Orthodox,Jul 14 1990,4.83,47%,5.56,38%,2.27,50%,77%,0.4,
2020-06-25 23:30:01.362270,Israel Albuquerque,0-3-0,,185,,Orthodox,,0.32,13%,3.34,25%,0.00,0%,0%,0.0,
2020-06-25 23:30:01.629026,Juan Alcain,1-2-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:01.893779,Iuri Alcantara,35-10-0 (1 NC),5-9,135,71,Southpaw,Aug 04 1980,2.72,45%,2.79,49%,1.44,62%,60%,0.8,
2020-06-25 23:30:02.287953,Ildemar Alcantara,21-11-0,6-2,185,78,Orthodox,Nov 18 1982,1.93,38%,2.63,50%,2.00,68%,81%,0.9,
2020-06-25 23:30:02.598447,Alfonso Alcarez,1-3-1,5-3,145,,,Jun 10 1970,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:02.867429,Gilbert Aldana,6-2-0,6-1,250,,Orthodox,Aug 25 1977,2.91,54%,6.26,26%,2.57,40%,33%,0.0,
2020-06-25 23:30:03.125989,Irene Aldana,12-5-0,5-9,135,68,Orthodox,Mar 26 1988,6.16,38%,5.92,63%,0.28,50%,93%,0.1,
2020-06-25 23:30:03.473563,Hector Aldana,4-3-0,5-11,170,72,Orthodox,Aug 17 1988,3.59,38%,5.08,59%,0.93,100%,0%,0.0,
2020-06-25 23:30:03.750053,Jose Aldo,28-6-0,5-7,135,70,Orthodox,Sep 09 1986,3.47,44%,3.18,65%,0.64,65%,91%,0.1,
2020-06-25 23:30:03.927092,JJ Aldrich,8-4-0,5-5,125,67,Southpaw,Sep 29 1992,3.88,40%,4.68,62%,0.31,25%,53%,0.0,
2020-06-25 23:30:04.286637,Jim Alers,13-3-0 (1 NC),5-9,145,71,Orthodox,Oct 14 1986,2.90,40%,4.38,56%,2.26,41%,80%,0.3,
2020-06-25 23:30:04.582486,John Alessio,35-17-0 (2 NC),5-10,155,72,Orthodox,Jul 05 1979,2.10,39%,2.91,54%,1.85,38%,70%,1.2,
2020-06-25 23:30:04.955826,Houston Alexander,17-15-1 (2 NC),6-0,205,72,Orthodox,Mar 22 1972,3.06,54%,3.20,52%,1.19,57%,33%,0.0,
2020-06-25 23:30:05.233502,Kenneth Alexander,7-6-0 (1 NC),5-9,155,,Orthodox,Sep 25 1977,0.88,19%,2.20,66%,4.71,26%,0%,0.0,
2020-06-25 23:30:05.504962,Marcio Alexandre Junior,17-4-0,6-0,185,75,Southpaw,May 05 1989,1.61,45%,2.89,42%,0.35,20%,66%,0.7,
2020-06-25 23:30:05.787529,Olaf Alfonso,8-12-0,6-2,170,,Orthodox,Aug 06 1974,1.65,38%,4.77,53%,0.37,7%,22%,0.7,
2020-06-25 23:30:06.077511,Pablo Alfonso,9-7-0,5-8,145,,,May 09 1983,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:06.327159,Levi Alford,1-7-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:06.581476,Bill Algeo,11-4-0,6-0,145,73,Switch,Jun 09 1989,9.80,53%,7.47,36%,0.00,0%,62%,0.0,
2020-06-25 23:30:06.844583,Royce Alger,3-2-0,5-10,199,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:07.147558,Amir Aliakbari,10-1-0,6-3,250,,,Jun 10 1984,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:30:07.412836,Sultan Aliev,15-3-0,5-11,170,74,Orthodox,Sep 17 1984,1.41,45%,2.20,56%,1.76,38%,100%,0.0,
